video_id,comment_id,author,text,like_count,published_at
UrIaQbIK2E4,UgylbGgk5syUK_lOezx4AaABAg,BB Ki Vines,"Cheeni waali mummy !!! 🤣🤣🤣<br><br>Comment your favourite dialogue. Don&#39;t forget to LIKE the video! <br>Keep Sharing, Keep Loving! ❤",35229,2023-05-07T07:49:27Z
Nwh6CQ50h0g,UgxV1-g2lvC6-GpZIMt4AaABAg,BB Ki Vines,"Mere birthday ka gift aap sabke liye! :) Isko 2M likes pe le jaaye? 😍<br>Taaza Khabar is now streaming on Disney+ Hotstar !!!<br><br>Keep Sharing, Keep Loving! ❤",17710,2023-01-21T13:19:58Z
HbTON0nb4DU,Ugzp_O6XRGEhPFsqUiV4AaABAg,BB Ki Vines,"Meri koi backing nahi hai, lekin passion mein bhi lacking nahi hai..🥹💪🏼<br><br>Keep Sharing, Keep Loving! ♥️",66167,2023-01-03T12:39:23Z
zm6xa3ggt5A,Ugyjd1xWOkL82Cs9Y3l4AaABAg,BB Ki Vines,"Aapka support chaahiye! Need a Like and Comment from each one of you so that this trailer reaches more people♥️<br><br>Taaza Khabar, my debut OTT showing streaming 6th January, 2023 on Disney+ Hotstar! ❤️‍🔥",19136,2022-12-13T06:38:19Z
xNTW2KfErTM,UgwpPXijYudVRQXKe1Z4AaABAg,BB Ki Vines,"Bablooji: “Abbas Mustan ka sandaas lag raha hai nahi?” 😂😂😂<br><br>Keep Sharing, Keep Loving! ♥️",25279,2022-08-27T12:34:34Z
cVPI4ppiDSA,UgwTs5VqHSiUZO8uHet4AaABAg,BB Ki Vines,"I want you all to Like, comment and share this video with your friends &amp; family. This is my debut outside YT and need your support like always! 🙏🏼 See you soon❤️<br><a href=""http://www.youtube.com/results?search_query=%23taazakhabar"">#TaazaKhabar</a>",16889,2022-06-10T06:02:30Z
xna_PkWzPVE,UgwCwD8edCkBjjzh4OF4AaABAg,BB Ki Vines,"&quot;Aajkal ki filmon mein storyline se zyaada jawline ki izzat hai&quot;<br>How true! Episode pasand aaya toh LIKE thok dena. <br><br>Keep Sharing, Keep Loving! &lt;3",62388,2022-03-25T09:40:46Z
PgKxqbXO198,UgxDVedxL88mQc_kHEp4AaABAg,BB Ki Vines,"Bollywood ke hote hain crunches aur deadlift, bhaad mein gayi script! :D :D <br>Episode pasand aaya toh LIKE daba dena.<br><br>Keep Sharing, Keep Loving! &lt;3",35069,2022-03-15T12:32:29Z
WEExPj6CMss,Ugy_AZQlAGccCfcsV6d4AaABAg,BB Ki Vines,"Gaana pasand aaya toh LIKE kar dena. <br>Comment karke favourite part bataao♥️<br><br>Keep Sharing, Keep Loving!",27014,2021-12-16T08:53:37Z
l8zlKap1JEo,Ugx9AlcX4LsGTZAPoPx4AaABAg,BB Ki Vines,"Video available in 4K !! Enjoy! <br>Share it with your friends!<br><br>Keep Sharing, Keep Loving! &lt;3",178071,2021-12-09T08:37:36Z
